"Switch","Jack","Room","Host","MAC","Switch Port"
,"A37 ",2054,"kiddy","08:00:20:01:44:bd",32
,"A41 ",2054,"tuesday","01:02:03:04:05:55",35
,"B1 ",2054,"friday","00:20:81:43:59:fa",41
,"A42",2054,"wednesday","00:de:ed:be:ef:05",46
,"A30",2054,"middy","02:03:04:00:00:e9",43
,"A38 ",2054,"liddy","08:00:20:dd:20:f3",33
"xx666","A1 ",666,"up ","00:3a:ff:e4:33:72",46
,"A2 ",666,"down","01:01:ff:ed:ce:64",45
,"A20 ",666,"tackle","03:04:03:99:84:4e",28
,"A5 ",666,"sideways","08:00:20:00:a4:fe",38
,"A25 ",666,"shortstop","00:3a:ff:e4:33:71",43
,"A7 ",666,"south  ","08:00:20:dd:90:f3",36
,"A3 ",666,"right","02:03:04:00:00:d9",31
,"A4 ",666,"left","09:09:01:04:55:fe",30
,"A8 ",666,"east  ","03:04:03:99:84:5e",35
,"A10 ",666,"upsidedown","00:de:ed:be:ef:06",33
,"A6 ",666,"north","08:00:20:01:44:ad",37
,"A12 ",666,"onend","00:20:81:43:59:f9",13
,"A13 ",666,"onside","00:3a:ff:e4:33:70",12
,"A14 ",666,"offside","01:01:ff:ed:ce:74",11
,"A15 ",666,"touchdown","02:03:04:00:00:c9",10
,"A34 ",666,"buick","01:de:ed:be:ef:07",22
,"A16 ",666,"safety","09:09:01:04:65:fe",9
,"A17 ",666,"fieldgoal","08:00:20:00:94:fe",8
,"A9 ",666,"west  ","01:02:03:04:05:65",34
,"A18 ",666,"homerun","08:00:20:01:44:0d",7
,"A19 ",666,"swish","08:00:20:dd:d0:f3",29
,"A21 ",666,"center","01:02:03:04:05:75",3
,"A22 ",666,"linebacker","00:de:ed:be:ef:08",1
,"A23 ",666,"pitcher","00:00:c0:ff:ee:07",2
,"A11 ",666,"downsideup","00:00:c0:ff:ee:08",32
,"A24 ",666,"catcher","00:20:81:43:59:f8",27
,"A26 ",666,"outfielder","01:01:ff:ed:ce:84",42
,"A27 ",666,"manager","02:03:04:00:00:b9",26
,"A28 ",666,"umpire","09:09:01:04:75:fe",25
,"A29 ",666,"lineman","08:00:20:00:34:fe",41
,"A30",666,"goalie","08:00:20:01:44:7d",40
,"A31 ",666,"referee","08:00:20:dd:c0:f3",24
,"A32",666,"ford","03:04:03:99:84:6e",23
,"A33 ",666,"chevy","01:02:03:04:05:85",39
,"A35 ",666,"hummer","00:00:c0:ff:ee:11",21
,"A36 ",666,"mazda","00:20:81:43:59:22",20
"xx6662","A37 ",666,"pontiac","00:3a:ff:e4:33:33",16
,"A39 ",666,"saturn","02:03:04:00:00:55",14
,"B2 ",666,"hyundai","01:01:ff:ed:ce:01",21
,"A40",666,"opel","09:09:01:04:05:66",9
,"A43 ",666,"accura","08:00:20:dd:e0:99",4
,"A44",666,"infinity","03:04:03:99:84:aa",19
,"A45 ",666,"andbeyond","01:02:03:04:05:bb",8
,"A38 ",666,"oldsmobile","01:01:ff:ed:ce:94",15
,"A46",666,"lexus","00:de:ed:be:ef:cc",32
,"A47",666,"jaguar","00:00:c0:ff:ee:dd",12
,"A48",666,"porsche","00:20:81:43:59:ee",24
,"B1 ",666,"kia","00:3a:ff:e4:33:19",44
,"A41 ",666,"toyota","08:00:20:00:34:77",6
,"B3",666,"chrysler","02:03:04:00:00:fe",22
,"A42",666,"honda","08:00:20:01:44:88",5
,"B4",666,"dodge","09:09:01:04:05:fd",48
